word,meaning,wordform,category
substantial,đáng kể,adjective,IELTS Writing
mitigate,giảm nhẹ,verb,IELTS Writing
prevalent,phổ biến,adjective,IELTS Writing
detrimental,có hại,adjective,IELTS Writing
advocate,"ủng hộ, biện hộ",verb,IELTS Writing
disparity,sự chênh lệch,noun,IELTS Writing
compelling,thuyết phục,adjective,IELTS Writing
undermine,làm suy yếu,verb,IELTS Writing
viable,khả thi,adjective,IELTS Writing
exacerbate,làm trầm trọng thêm,verb,IELTS Writing
scrutiny,sự xem xét kỹ lưỡng,noun,IELTS Writing
inherent,vốn có,adjective,IELTS Writing
proponent,người ủng hộ,noun,IELTS Writing
alleviate,làm dịu bớt,verb,IELTS Writing
cumulative,tích luỹ,adjective,IELTS Writing
deterrent,yếu tố răn đe,noun,IELTS Writing
feasible,có thể thực hiện được,adjective,IELTS Writing
incentive,động lực khuyến khích,noun,IELTS Writing
profound,sâu sắc,adjective,IELTS Writing
sustain,duy trì,verb,IELTS Writing
hypothesis,giả thuyết,noun,Academic Reading
empirical,dựa trên thực nghiệm,adjective,Academic Reading
correlate,tương quan,verb,Academic Reading
ambiguous,mơ hồ,adjective,Academic Reading
synthesis,sự tổng hợp,noun,Academic Reading
arbitrary,tuỳ tiện,adjective,Academic Reading
denote,biểu thị,verb,Academic Reading
paradigm,"hệ hình, khuôn mẫu",noun,Academic Reading
subsequent,tiếp theo sau,adjective,Academic Reading
constitute,cấu thành,verb,Academic Reading
explicit,"rõ ràng, tường minh",adjective,Academic Reading
derive,"bắt nguồn, suy ra",verb,Academic Reading
comprise,bao gồm,verb,Academic Reading
notion,khái niệm,noun,Academic Reading
albeit,mặc dù,conjunction,Academic Reading
thereby,nhờ đó,adverb,Academic Reading
preliminary,sơ bộ,adjective,Academic Reading
anomaly,điều bất thường,noun,Academic Reading
converge,hội tụ,verb,Academic Reading
rigorous,"chặt chẽ, nghiêm ngặt",adjective,Academic Reading
run out of,"hết, cạn kiệt",phrasal verb,Daily Life
put up with,chịu đựng,phrasal verb,Daily Life
look forward to,mong chờ,phrasal verb,Daily Life
get along with,hoà hợp với,phrasal verb,Daily Life
break the ice,phá tan không khí ngượng ngùng,idiom,Daily Life
call it a day,tạm dừng công việc,idiom,Daily Life
under the weather,không khoẻ,idiom,Daily Life
hit the road,lên đường,idiom,Daily Life
errand,việc vặt phải ra ngoài làm,noun,Daily Life
chore,việc nhà,noun,Daily Life
commute,đi lại giữa nhà và nơi làm,verb,Daily Life
errand runner,người chạy việc vặt,noun,Daily Life
cozy,ấm cúng,adjective,Daily Life
handy,tiện dụng,adjective,Daily Life
tidy up,dọn dẹp,phrasal verb,Daily Life
drop by,ghé qua,phrasal verb,Daily Life
run late,bị trễ giờ,phrasal verb,Daily Life
grab a bite,ăn tạm gì đó,idiom,Daily Life
sort out,"giải quyết, sắp xếp",phrasal verb,Daily Life
wind down,thư giãn cuối ngày,phrasal verb,Daily Life
